"TARGET_SPEED","STEERING","SPEED","ANGLE_TO_TRACK_AXIS","TRACK_POSITION","TRACK_EDGE_0","TRACK_EDGE_1","TRACK_EDGE_2","TRACK_EDGE_3","TRACK_EDGE_4","TRACK_EDGE_5","TRACK_EDGE_6","TRACK_EDGE_7","TRACK_EDGE_8","TRACK_EDGE_9","TRACK_EDGE_10","TRACK_EDGE_11","TRACK_EDGE_12","TRACK_EDGE_13","TRACK_EDGE_14","TRACK_EDGE_15","TRACK_EDGE_16","TRACK_EDGE_17","TRACK_EDGE_18","OPPONENT_0","OPPONENT_1","OPPONENT_2","OPPONENT_3","OPPONENT_4","OPPONENT_5","OPPONENT_6","OPPONENT_7","OPPONENT_8"
1,0.13775618280000002,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1392232348,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1406902868,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1421573388,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1436243908,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1450914428,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1489328908000009,0.08307076699639893,0.022802803513734555,0.333219,3.33391,3.45188,3.85055,4.71673,6.67241,9.75836,12.9004,19.2426,38.4271,200.0,76.1385,38.3021,25.7176,19.4691,13.323,9.42353,7.69557,6.90051,6.66609,200.0,200.0,200.0,19.9932,30.1888,10.5329,200.0,200.0,200.0
1,0.14950001480000003,0.06545679370241105,0.015945300846931784,0.333219,3.33391,3.45177,3.85028,4.71617,6.67103,9.75515,12.8946,19.2296,38.3744,200.0,76.2423,38.328,25.7291,19.4755,13.3258,9.42466,7.6961,6.90073,6.66609,200.0,200.0,200.0,19.9923,30.1886,10.532,200.0,200.0,200.0
1,0.1509671388,0.05457950843750794,0.014606584958608615,0.333219,3.33391,3.45175,3.85023,4.71606,6.67076,9.75453,12.8935,19.227,38.3641,200.0,76.2626,38.3331,25.7313,19.4767,13.3263,9.42488,7.69621,6.90078,6.66609,200.0,200.0,200.0,19.9912,30.1882,10.5308,200.0,200.0,200.0
1,0.15243426280000003,0.21446577635373434,0.01979752528671436,0.333219,3.33391,3.45183,3.85043,4.71649,6.67181,9.75696,12.8979,19.2369,38.404,200.0,76.184,38.3134,25.7226,19.4719,13.3242,9.42403,7.69581,6.90061,6.66609,200.0,200.0,200.0,19.9919,30.188,10.5314,200.0,200.0,200.0
