SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,ACCELERATION,BRAKE,STEERING
177.889,0.546537,0.115918,2.73943,2.84151,3.04935,3.40413,3.99458,5.03076,7.14182,13.1852,1,0,0.0
178.081,0.527115,0.120905,2.85849,2.96782,3.18835,3.5641,4.19001,5.29228,7.55798,13.8008,1,0,0.0
178.273,0.506798,0.125891,2.98318,3.10025,3.33428,3.73227,4.39594,5.56901,7.99091,14.3637,1,0,0.0
178.465,0.485626,0.130874,3.11328,3.23854,3.48686,3.90845,4.6122,5.86099,8.40223,14.8775,1,0,0.0
178.656,0.463699,0.135859,3.24825,3.38219,3.64554,4.092,4.83819,6.16279,8.78839,15.3439,1,0,0.0
178.85,0.440875,0.140842,3.3889,3.53204,3.81134,4.28413,5.07501,6.45411,9.15286,15.7704,1,0,0.0
179.041,0.417152,0.145821,3.53529,3.68822,3.98434,4.48472,5.30926,6.73233,9.49637,16.1595,1,0,0.0
179.232,0.39271,0.1508,3.68637,3.84956,4.16259,4.68224,5.53279,6.9958,9.8169,16.5093,1,0,0.0
179.422,0.367371,0.155776,3.84323,4.01505,4.33776,4.87275,5.7474,7.24695,10.118,16.8268,1,0,0.0
179.613,0.341217,0.157532,4.00128,4.17635,4.50719,5.05637,5.95326,7.48596,10.4004,17.1146,1,0,0.0
179.804,0.315554,0.152641,4.15401,4.33176,4.66994,5.23204,6.1492,7.71136,10.6627,17.3708,1,0,0.0
179.992,0.290657,0.147739,4.30194,4.4819,4.82672,5.40065,6.33617,7.92465,10.9071,17.5995,1,0,0.0
180.184,0.266485,0.142826,4.44539,4.62709,4.97784,5.56251,6.51456,8.1265,11.1348,17.8033,1,0,0.0
180.376,0.243144,0.1379,4.58368,4.76669,5.12262,5.71681,6.68367,8.31609,11.3447,17.981,1,0,0.0
180.568,0.220622,0.132961,4.71695,4.90075,5.26109,5.86377,6.84371,8.49381,11.5377,18.1348,1,0,0.0
180.76,0.198835,0.127958,4.84566,5.02979,5.39392,6.00409,6.99565,8.66076,11.7157,18.2676,1,0,0.0
180.95,0.177897,0.122883,4.96918,5.1532,5.52046,6.13713,7.13867,8.81608,11.8778,18.3781,1,0,0.0
181.136,0.157819,0.117795,5.08745,5.27098,5.64075,6.26293,7.27276,8.96001,12.0241,18.4674,1,0,0.0
181.331,0.138514,0.1127,5.20105,5.38371,5.75536,6.38209,7.39884,9.09372,12.1566,18.5384,1,0,0.0
181.525,0.120033,0.107593,5.30969,5.49109,5.86399,6.49428,7.5166,9.21697,12.2748,18.5909,1,0,-0.4
181.718,0.102458,0.102475,5.41289,5.59256,5.96609,6.59905,7.62551,9.32896,12.3784,18.6244,1,0,-0.4
181.911,0.0856603,0.0972603,5.51135,5.68895,6.06255,6.6974,7.72679,9.43126,12.4694,18.6419,1,0,-0.4
182.066,0.0694758,0.094116,5.60725,5.78465,6.1606,6.80049,7.83774,9.55267,12.6001,18.755,1,0,-0.4
182.15,0.0532811,0.0968402,5.70627,5.88954,6.27533,6.9308,7.9927,9.74865,12.8697,19.1689,1,0,0.0
182.207,0.0368322,0.104558,5.8098,6.00439,6.40695,7.08769,8.18988,10.0153,13.2691,19.8601,1,0,0.0
